;ESCOLARIDADE;TIPO_CONTRATACAO;TITULO_OCUPACAO;ESTADO;VALOR_SALARIO;QTD_VAGAS;QTD_EXPERIENCIA;REQUERIDO_DEFICIENCIA
70;9;3;2419;5;0.00;1;6;0
71;13;3;699;5;0.00;1;6;0
72;4;3;286;5;1230.00;2;6;0
73;9;3;376;5;0.00;1;6;0
74;5;3;857;5;0.00;1;6;0
75;4;3;742;5;0.00;1;6;0
76;4;3;716;5;0.00;1;6;0
77;11;3;103;5;1100.00;2;6;0
78;9;3;374;5;1100.00;1;6;0
79;4;3;374;5;1230.01;1;6;0
80;9;3;70;5;0.00;1;6;0
81;9;3;413;5;0.00;100;6;0
82;13;3;343;5;0.00;1;6;0
83;4;3;374;5;1100.00;1;6;0
84;9;3;1345;5;0.00;1;6;0
85;5;3;1836;5;0.00;1;6;0
86;13;3;944;5;0.00;1;6;0
87;9;3;374;5;1100.00;4;6;0
88;9;3;1598;5;1100.00;4;6;0
89;9;3;981;5;0.00;2;6;0
90;9;3;667;5;1315.00;1;6;0
91;9;3;1874;5;1300.00;1;6;0
92;11;3;1598;5;1666.53;8;1;0
93;9;3;2464;5;0.00;1;6;0
94;9;3;981;5;0.00;1;6;0
95;9;3;120;5;0.00;1;6;0
96;9;3;2023;5;0.00;2;0;0
97;9;3;2438;5;0.00;1;6;0
98;5;3;2052;5;0.00;1;6;0
99;5;3;748;5;0.00;1;6;0
100;9;3;404;5;807.40;1;6;0
101;9;3;2464;5;0.00;1;0;0
102;9;3;339;5;0.00;1;6;0
103;4;3;740;5;760.00;1;6;0
104;9;3;1145;5;0.00;6;0;0
105;9;3;1598;5;1100.00;10;6;0
106;9;3;2116;5;1300.00;2;6;0
107;9;3;1010;5;1100.00;2;6;0
108;9;3;2116;5;1800.00;1;6;0
109;9;3;813;5;1385.61;1;6;0
110;4;3;374;5;0.00;4;6;0
111;11;3;2464;5;1100.00;3;0;0
112;4;3;374;5;1100.00;3;6;0
113;9;3;605;5;1700.00;1;6;0
114;9;3;744;5;0.00;1;6;0
115;9;3;1973;5;1146.00;1;6;0
116;4;3;1358;5;0.00;1;6;0
117;5;3;2266;5;0.00;20;6;0
118;9;3;376;5;1160.69;3;0;0
119;5;3;512;5;0.00;3;0;0
120;5;3;1259;5;0.00;1;6;0
121;9;3;2459;5;0.00;2;6;0
122;4;3;198;5;1258.27;3;0;0
123;10;3;1529;5;0.00;1;6;0
124;5;3;85;5;0.00;2;0;0
125;4;3;500;5;0.00;1;6;0
126;4;3;1394;5;0.00;1;6;0
127;4;3;748;5;0.00;1;6;0
128;9;3;1815;5;1100.00;3;0;0
130;9;3;376;5;0.00;1;0;0
131;5;3;2268;5;0.00;3;6;0
132;11;3;1889;5;0.00;1;6;0
133;10;3;374;5;1100.00;1;3;0
134;9;3;2418;5;2200.00;1;6;0
135;4;3;376;5;0.00;10;0;0
136;9;3;1973;5;1229.54;1;6;0
137;4;3;764;5;0.00;1;6;0
138;9;3;1815;5;0.00;10;6;0
139;10;3;748;5;0.00;2;6;0
140;9;3;733;5;0.00;3;6;0
141;5;3;2268;5;0.00;1;6;0
143;9;3;695;5;0.00;1;6;0
144;9;3;1071;5;0.00;1;6;0
145;12;3;661;5;0.00;1;6;0
146;9;3;2468;5;0.00;1;0;0
147;9;3;2435;5;1100.00;1;0;0
149;4;3;1026;5;0.00;1;6;0
151;9;3;2076;5;0.00;1;6;0
152;9;3;2212;5;0.00;1;6;0
153;13;3;1954;5;0.00;1;6;0
154;9;3;2379;5;0.00;1;6;0
155;12;3;667;5;0.00;1;6;0
156;9;3;1394;5;0.00;1;6;0
157;12;3;1948;5;1100.00;1;0;0
158;9;3;84;5;0.00;3;6;0
159;11;5;562;5;0.00;4;6;0
160;9;3;2455;5;0.00;5;6;0
161;9;3;1550;5;1910.00;5;6;0
162;5;3;1768;5;0.00;1;6;0
163;4;3;311;5;0.00;2;0;0
164;9;3;657;5;0.00;3;6;0
165;9;3;1099;5;1800.00;1;6;0
167;12;3;2163;5;1100.00;1;3;0
168;10;3;981;5;0.00;1;6;0
169;9;3;748;5;1200.00;1;6;0
170;9;3;2163;5;0.00;1;6;0
171;9;3;2464;5;0.00;2;6;0
172;4;3;1259;5;0.00;1;6;0
173;9;3;2378;5;0.00;5;6;0
174;9;3;1874;5;2144.00;1;6;0
175;9;3;297;5;1126.21;6;0;0
176;4;3;376;5;0.00;3;0;0
179;9;3;2201;5;0.00;40;0;0
180;13;3;124;5;0.00;1;6;0
181;4;3;601;5;0.00;1;6;0
182;13;3;1050;5;0.00;1;6;0
183;5;3;728;5;0.00;2;6;0
184;9;3;345;5;0.00;1;6;0
186;11;3;1255;5;0.00;1;6;0
187;9;3;1895;5;0.00;1;6;0
189;9;3;71;5;0.00;2;6;0
190;5;3;562;5;1800.00;5;6;0
192;9;3;813;5;0.00;1;6;0
193;5;3;543;5;0.00;1;6;0
194;9;3;2468;5;0.00;1;6;0
196;9;3;2249;5;0.00;10;6;0
197;13;3;1052;5;0.00;1;6;0
198;13;3;933;5;0.00;1;6;0
200;9;3;1996;5;1100.00;2;6;0
201;9;3;451;5;1254.70;2;6;0
202;5;3;2172;5;0.00;1;6;0
203;4;3;855;5;1114.07;3;0;0
204;4;3;1186;5;0.00;1;6;0
205;5;3;857;5;1100.00;1;6;0
206;9;3;835;5;0.00;1;6;0
207;9;3;526;5;0.00;1;0;0
208;5;3;559;5;1400.00;1;6;0
209;9;3;304;5;0.00;3;6;0
210;4;3;1512;5;0.00;1;6;0
211;4;3;376;5;0.00;2;0;0
212;9;3;792;5;0.00;1;6;0
213;5;3;1492;5;0.00;1;6;0
215;9;3;429;5;1118.22;2;0;0
216;9;3;304;5;0.00;1;6;0
217;9;3;297;5;1117.77;3;6;0
218;9;3;667;5;0.00;3;6;0
0;4;3;876;6;0.0;2;6;0
1;11;3;345;6;999.99;2;0;0
2;9;3;2464;6;1520.0;1;6;0
3;9;3;981;6;1260.0;1;0;0
0;12;3;304;7;1500.0;1;6;0
1;9;3;2435;7;0.0;1;6;0
2;4;3;374;7;1312.48;10;6;0
3;5;5;85;7;0.0;10;6;0
4;4;3;365;7;1312.48;10;6;0
5;9;3;1996;7;1188.31;10;6;0
6;5;5;1851;7;0.0;5;6;0
7;5;5;1857;7;0.0;10;6;0
8;5;3;1339;7;0.0;1;6;0
9;9;3;2026;7;0.0;1;6;0
10;9;3;322;7;0.0;1;6;0
11;5;3;651;7;0.0;1;6;0
12;5;3;1836;7;0.0;1;6;0
13;9;3;1005;7;0.0;2;4;0
14;5;3;417;7;1222.1;40;0;0
15;9;3;1768;7;2300.0;2;6;0
16;9;3;2003;7;0.0;1;6;0
17;5;3;1678;7;1600.0;5;6;0
18;9;3;667;7;1600.0;1;6;0
19;9;3;2464;7;0.0;2;6;0
20;10;3;482;7;0.0;5;6;0
21;9;3;682;7;2000.0;1;6;0
22;10;3;1768;7;2300.0;1;6;0
23;4;3;582;7;0.0;15;6;0
24;9;3;348;7;1188.31;2;0;0
25;9;3;348;7;1200.0;1;0;0
26;9;3;2464;7;0.0;1;6;0
27;9;3;286;7;0.0;6;0;0
28;9;3;981;7;0.0;6;0;0
29;4;3;374;7;0.0;6;0;0
30;9;3;2464;7;0.0;6;0;0
31;9;3;2208;7;2500.0;1;6;0
32;4;3;1848;7;1660.4;1;6;0
33;9;3;985;7;1746.57;3;6;0
34;10;3;120;7;1746.57;1;6;0
35;9;3;2464;7;0.0;1;0;0
37;5;3;733;7;0.0;3;6;0
38;5;3;209;7;0.0;3;0;0
39;9;3;286;7;0.0;1;0;0
42;9;3;348;7;0.0;1;0;0
43;10;3;374;7;0.0;1;0;0
47;11;3;864;7;1300.0;1;6;0
48;5;3;1510;7;1181.31;2;2;0
49;9;3;376;7;1247.42;1;0;0
50;5;3;85;7;0.0;4;0;0
51;9;3;539;7;1683.45;1;6;0
52;9;3;2093;7;1743.57;1;6;0
53;5;3;1836;7;1800.0;1;6;0
57;13;3;689;7;0.0;1;6;0
58;13;3;150;7;0.0;1;6;0
59;13;3;942;7;0.0;1;6;0
60;9;3;327;7;0.0;1;6;0
61;4;3;726;7;0.0;2;6;0
62;11;3;733;7;0.0;1;6;0
63;11;3;1577;7;0.0;1;6;0
64;4;3;1220;7;0.0;1;6;0
65;4;3;119;7;0.0;1;6;0
66;4;3;467;7;0.0;1;0;0
67;13;3;133;7;0.0;1;6;0
68;11;3;1016;7;0.0;2;6;0
69;11;3;304;7;0.0;1;6;0
70;9;3;2430;7;0.0;1;0;0
71;5;3;1364;7;0.0;10;6;0
72;11;3;2052;7;0.0;1;0;0
73;9;3;2377;7;0.0;1;6;0
74;4;3;1409;7;0.0;1;6;0
75;13;3;934;7;0.0;1;6;0
76;9;2;205;7;0.0;1;0;0
77;9;2;934;7;0.0;1;0;0
78;5;3;1848;7;0.0;1;6;0
79;5;3;403;7;0.0;1;6;0
80;11;3;704;7;0.0;1;6;0
81;5;3;2459;7;0.0;1;6;0
82;9;3;541;7;0.0;2;6;0
83;9;3;2052;7;0.0;1;6;0
84;9;3;2093;7;0.0;18;6;0
85;9;3;2007;7;0.0;1;6;0
86;12;2;934;7;1300.0;1;0;0
87;13;3;1092;7;0.0;1;6;0
88;9;3;2459;7;0.0;1;6;0
89;9;3;345;7;0.0;1;0;0
90;9;3;1996;7;0.0;1;0;0
91;5;5;1110;7;0.0;5;6;0
92;9;3;304;7;0.0;1;6;0
93;9;3;661;7;0.0;1;6;0
94;9;3;981;7;0.0;1;0;0
95;4;3;667;7;0.0;10;6;0
96;13;3;2138;7;0.0;1;6;0
97;9;3;260;7;0.0;1;0;0
99;11;5;1848;7;1925.0;1;6;0
100;11;5;2085;7;1241.48;4;6;0
101;11;5;813;7;1925.0;1;6;0
102;5;3;1807;7;0.0;4;6;0
103;9;3;304;7;0.0;5;0;0
104;9;3;2459;7;1198.77;1;6;0
105;9;3;2463;7;0.0;2;6;0
106;4;3;189;7;1460.8;1;6;0
107;4;5;1996;7;0.0;1;0;0
108;5;5;748;7;0.0;1;6;0
109;9;3;229;7;0.0;1;0;0
0;11;3;855;8;1197.45;1;3;0
1;9;3;2031;8;0.00;1;0;0
2;4;3;1538;8;0.00;2;6;0
3;4;3;1384;8;0.00;1;6;0
4;13;3;931;8;2290.00;1;0;0
5;4;3;1371;8;0.00;1;6;0
6;4;3;518;8;0.00;1;6;0
7;4;3;824;8;0.00;1;6;0
8;4;3;1384;8;2500.00;2;6;0
9;5;3;1475;8;1904.30;10;6;0
10;11;3;1259;8;1800.00;1;6;0
11;9;3;2459;8;1100.00;12;6;0
12;4;3;374;8;0.00;6;6;0
13;4;3;1529;8;0.00;5;6;0
14;4;3;1512;8;0.00;3;6;0
15;5;3;376;8;0.00;1;6;0
16;4;3;928;8;0.00;1;6;0
17;9;3;1722;8;1373.99;4;6;0
18;4;3;2100;8;0.00;1;6;0
19;10;3;704;8;0.00;10;0;0
20;11;3;704;8;0.00;5;0;0
21;9;3;2455;8;0.00;6;6;0
22;11;3;744;8;0.00;1;0;0
23;4;3;446;8;0.00;5;6;0
24;11;3;740;8;0.00;1;6;0
25;9;3;1996;8;1469.17;1;0;0
27;11;3;744;8;0.00;2;6;0
28;11;3;716;8;0.00;1;6;0
29;10;3;2440;8;1570.00;7;6;0
30;11;3;1259;8;2500.00;3;6;0
31;11;3;2093;8;1800.00;2;6;0
32;11;3;744;8;0.00;1;6;0
33;9;3;2026;8;0.00;1;0;0
37;9;3;286;8;1351.00;3;6;0
38;9;3;1344;8;1380.00;1;6;0
39;11;3;1344;8;0.00;1;6;0
40;4;3;387;8;0.00;3;6;0
41;10;3;1598;8;1145.54;2;6;0
42;9;3;704;8;0.00;4;6;0
43;5;3;2212;8;2000.00;1;6;0
44;5;3;742;8;1280.00;40;0;0
45;9;3;704;8;0.00;1;6;0
49;11;3;733;8;0.00;60;0;0
50;9;3;1579;8;1300.00;2;6;0
51;5;3;1344;8;0.00;1;6;0
53;9;3;667;8;0.00;15;6;0
54;11;3;1259;8;1998.00;1;0;0
55;11;3;1418;8;0.00;1;6;0
56;4;3;2076;8;2100.00;2;6;0
57;4;3;2275;8;0.00;1;6;0
58;11;3;738;8;0.00;2;6;0
59;5;3;1227;8;0.00;4;6;0
60;5;3;376;8;1425.00;10;6;0
61;4;3;2212;8;0.00;1;6;0
62;11;3;733;8;0.00;4;6;0
63;4;3;2212;8;2000.00;1;6;0
64;4;3;1598;8;1145.54;2;0;0
65;11;3;390;8;0.00;1;6;0
66;11;3;2440;8;0.00;1;6;0
67;4;3;1551;8;1100.00;10;6;0
68;11;3;728;8;0.00;40;0;0
69;5;3;85;8;1160.10;20;0;0
70;5;3;1848;8;1177.25;6;6;0
71;9;3;2212;8;2500.00;2;6;0
72;4;3;67;8;1100.00;2;6;0
73;4;3;1516;8;1255.00;2;6;0
74;11;3;742;8;0.00;1;6;0
76;9;3;104;8;1314.00;3;0;0
77;9;2;704;8;0.00;20;0;0
78;13;3;2154;8;0.00;1;6;0
79;9;3;1376;8;2200.00;4;6;0
81;9;3;2464;8;0.00;15;0;0
82;4;3;2468;8;0.00;1;6;0
83;4;3;1042;8;0.00;1;6;0
84;9;3;229;8;1100.00;1;0;0
85;9;3;376;8;1100.00;1;0;0
86;11;3;376;8;1100.00;1;6;0
87;5;3;46;8;1100.00;3;6;0
88;10;3;286;8;0.00;1;6;0
89;9;3;1973;8;1342.11;6;6;0
90;9;3;2435;8;0.00;1;6;0
91;11;3;1339;8;1334.00;1;6;0
92;4;3;374;8;0.00;10;6;0
93;9;3;1797;8;1153.97;10;6;0
94;11;3;2445;8;0.00;1;0;0
95;4;3;2455;8;1100.00;40;0;0
96;9;3;667;8;0.00;2;3;0
97;4;3;1529;8;1246.97;50;6;0
98;4;3;1550;8;1273.97;20;6;0
99;10;3;317;8;1150.00;2;0;0
101;9;3;624;8;1190.00;1;0;0
103;9;3;2464;8;0.00;10;6;0
104;11;3;2445;8;0.00;1;6;0
105;5;3;1244;8;1525.00;1;6;0
106;12;3;304;8;0.00;1;0;0
107;5;3;539;8;2800.00;1;6;0
108;11;3;2052;8;0.00;1;6;0
109;10;3;2464;8;0.00;1;6;0
110;11;3;601;8;1250.00;1;6;0
111;4;3;1680;8;1188.00;35;0;0
112;12;3;2406;8;1341.39;1;6;0
114;9;3;2441;8;0.00;1;0;0
115;5;3;1198;8;1100.00;4;6;0
117;9;3;322;8;1200.00;1;6;0
118;5;3;813;8;0.00;1;6;0
119;5;3;868;8;0.00;1;6;0
120;11;3;2014;8;0.00;1;6;0
121;5;3;1198;8;0.00;2;6;0
122;5;3;365;8;1100.00;10;6;0
123;9;3;1657;8;1138.00;2;6;0
124;11;3;435;8;0.00;1;6;0
125;13;3;144;8;0.00;1;6;0
126;11;3;824;8;0.00;1;6;0
127;11;3;1907;8;0.00;1;6;0
128;11;3;1343;8;0.00;1;6;0
129;11;3;1512;8;0.00;30;6;0
130;11;3;517;8;0.00;1;6;0
132;11;3;744;8;0.00;6;6;0
133;12;3;2425;8;2000.00;1;6;0
134;9;3;844;8;2000.00;1;6;0
135;12;3;2464;8;1300.00;1;6;0
136;9;3;2394;8;0.00;1;6;0
137;9;3;1717;8;1451.39;1;6;0
138;5;3;2080;8;0.00;1;6;0
139;9;3;2093;8;1555.00;1;6;0
140;4;3;2459;8;0.00;15;6;0
141;5;3;1838;8;0.00;15;6;0
142;4;3;2024;8;1145.54;1;0;0
143;9;3;1712;8;0.00;1;6;0
144;13;3;121;8;2500.00;19;0;0
145;4;3;1649;8;0.00;3;0;0
146;11;3;104;8;1320.00;3;0;0
147;11;3;1475;8;1320.00;2;0;0
148;4;3;1510;8;1100.00;2;6;0
149;9;3;1074;8;2000.00;4;6;0
150;5;3;2445;8;2384.80;2;0;0
151;5;3;1198;8;1200.00;1;0;0
152;11;3;1417;8;0.00;1;6;0
153;4;3;1626;8;0.00;1;6;0
154;5;3;2085;8;1124.72;20;6;0
155;4;3;651;8;0.00;1;1;0
156;9;3;433;8;0.00;1;6;0
157;5;3;577;8;1650.00;1;6;0
158;9;3;327;8;1120.00;1;6;0
159;9;3;601;8;1220.00;1;6;0
160;9;3;753;8;1250.00;1;6;0
161;4;3;1973;8;0.00;5;6;0
162;5;3;733;8;1212.00;1;2;0
163;5;3;2076;8;1772.50;1;6;0
164;9;3;667;8;1200.00;1;0;0
165;5;3;67;8;1168.00;2;6;0
166;10;3;1970;8;0.00;10;6;0
167;5;3;1579;8;0.00;5;6;0
168;5;3;383;8;0.00;5;6;0
169;5;3;365;8;0.00;5;6;0
170;10;3;368;8;1320.00;2;0;0
171;9;3;256;8;0.00;1;0;0
172;9;3;1493;8;1500.00;1;6;0
173;9;3;2468;8;1180.00;13;0;0
174;9;3;1034;8;0.00;1;6;0
175;9;3;1996;8;1500.00;1;6;0
176;10;3;1204;8;1962.40;2;6;0
177;9;3;2363;8;0.00;1;6;0
178;4;3;544;8;0.00;15;0;0
179;9;3;293;8;0.00;10;0;0
180;9;3;2005;8;0.00;10;0;0
181;5;3;482;8;0.00;1;0;0
182;5;3;64;8;0.00;1;0;0
183;4;3;1885;8;0.00;6;6;0
184;4;3;1570;8;0.00;5;6;0
185;4;3;1848;8;0.00;5;6;0
186;4;3;1120;8;0.00;10;0;0
187;10;3;2107;8;1962.40;2;6;0
188;5;3;345;8;0.00;1;0;0
189;9;3;310;8;0.00;1;0;0
190;4;3;2076;8;1904.30;10;6;0
191;11;3;486;8;0.00;1;6;0
192;4;3;2111;8;0.00;2;6;0
193;11;3;2026;8;0.00;1;0;0
194;11;3;2464;8;0.00;2;6;0
195;9;5;510;8;2250.00;1;6;0
196;4;3;1393;8;1100.00;1;6;0
197;11;3;1344;8;1500.00;1;6;0
198;5;3;753;8;0.00;1;6;0
199;9;3;439;8;1200.00;1;6;0
200;5;3;759;8;0.00;1;6;0
201;9;3;147;8;1475.00;1;6;0
202;9;3;1409;8;6000.00;1;6;0
203;9;3;229;8;1570.00;1;6;0
204;11;3;285;8;0.00;1;0;0
205;5;5;1680;8;1287.00;1;0;0
207;4;3;1736;8;1597.00;1;6;0
208;9;3;482;8;0.00;1;6;0
